,id,coordinate,Start_Date,End_Date
234,295327,"[0.216778, 36.033964]",-30.0,640.0
235,295331,"[3.231468, 36.808485]",-330.0,640.0
236,295332,"[4.156907, 36.897601]",-330.0,640.0
237,295333,"[3.5646, 36.801017]",-330.0,640.0
238,295334,"[3.91232, 36.916607]",-330.0,640.0
239,295337,"[3.785022, 36.818747]",-30.0,300.0
240,295339,"[0.334747, 36.044786]",-30.0,300.0
241,295340,"[2.389202, 36.394244]",-30.0,640.0
242,295343,"[2.118907, 36.583208]",-30.0,300.0
243,295344,"[2.137201, 36.526293]",-30.0,640.0
244,295345,"[3.989483, 36.019807]",-30.0,640.0
245,295346,"[2.515064, 36.192331]",-30.0,640.0
246,295350,"[2.607866, 36.600386]",-30.0,300.0
247,295352,"[1.135135, 36.307488]",-30.0,300.0
248,295354,"[2.914292, 36.135629]",-30.0,300.0
249,295358,"[1.641844465878574, 36.24102736882647]",-330.0,640.0
250,295359,"[3.947273, 36.793307]",-30.0,640.0
251,295360,"[4.175252, 36.766398]",-30.0,640.0
252,295361,"[1.461386, 36.375644]",-30.0,300.0
253,295363,"[2.440944, 36.593951]",-550.0,640.0
254,295367,"[2.27916, 36.624145]",-30.0,640.0
255,295369,"[1.094881, 36.073819]",-30.0,640.0
256,295371,"[1.103086, 36.426971]",-30.0,300.0
257,295374,"[2.223758, 36.304939]",-330.0,300.0
258,29540,"[61.136446, 30.779792]",-550.0,-30.0
259,29542,"[54.544772, 28.755075]",,
260,29625,"[61.152882, 31.299242]",-30.0,640.0
261,29626,"[57.743416, 28.665408]",-550.0,640.0
262,29635,"[58.592587, 23.612619]",-330.0,300.0
263,29636,"[61.449416, 30.582929]",-330.0,640.0
264,29640,"[59.436502, 32.684617]",-30.0,640.0
265,29652,"[39.815421, 21.426804]",-330.0,300.0
266,29686,"[54.319643, 29.193851]",-550.0,640.0
267,29729,"[61.565115, 30.448068]",-330.0,300.0
268,29748,"[61.66014, 30.551217]",-30.0,300.0
269,29755,"[61.862671, 30.95366]",-330.0,640.0
270,29756,"[55.668645, 29.436543]",300.0,640.0
271,29762,"[52.33683, 27.670345]",-30.0,640.0
272,29766,"[56.731518, 24.377793]",-30.0,640.0
273,29781,"[53.642646, 28.931476]",-550.0,640.0
274,29799,"[57.25407, 27.862649]",-30.0,640.0
275,29800,"[62.908284, 40.35468]",-30.0,640.0
276,29802,"[57.068581, 30.273015]",-30.0,640.0
277,29811,"[54.35877, 31.892187]",300.0,640.0
278,305024,"[5.055828, 36.322729]",-30.0,640.0
279,305030,"[7.270135, 36.459865]",-30.0,640.0
280,305032,"[6.877458, 36.903101]",-330.0,640.0
281,305033,"[7.518478, 36.608739]",-30.0,640.0
282,305039,"[7.425185, 36.461491]",-330.0,640.0
283,305043,"[6.45677, 36.306151]",-30.0,640.0
284,305044,"[5.204559, 36.165613]",-30.0,640.0
285,305045,"[6.464885, 36.488417]",-30.0,640.0
286,305046,"[5.337892, 36.033333]",-30.0,640.0
287,305047,"[6.474222, 36.378888]",-30.0,640.0
288,305048,"[6.832552, 36.283833]",-30.0,640.0
289,305050,"[6.472302, 36.379688]",-30.0,640.0
290,305053,"[6.516829, 36.233093]",-30.0,640.0
291,305054,"[5.945882, 35.430136]",-30.0,640.0
292,305055,"[4.649841, 35.766378]",-30.0,640.0
293,305057,"[6.13124, 36.409238]",-30.0,640.0
294,305058,"[6.588689, 36.838344]",-30.0,640.0
295,305059,"[5.250085, 36.566604]",300.0,640.0
296,305062,"[5.482233, 36.672297]",-330.0,640.0
297,305063,"[6.565512, 37.008477]",-330.0,640.0
298,305064,"[6.611938, 36.367512]",-330.0,640.0
299,808355192,"[[-7.04181, 42.8649857], [-7.0419142, 42.8651385], [-7.0422959, 42.8654073], [-7.0424126, 42.8653754], [-7.0425272, 42.865216], [-7.0425963, 42.8647288], [-7.0425373, 42.8644693], [-7.042269, 42.8643946], [-7.0419533, 42.8644582], [-7.0418614, 42.8648271], [-7.04181, 42.8649857]]",-900.0,-100.0
300,168208657,"[[-5.7150306, 38.7231018], [-5.7147287, 38.7232989], [-5.7146178, 38.7232917], [-5.7144914, 38.7231547], [-5.7145993, 38.7229191], [-5.7146522, 38.7229043], [-5.7147287, 38.722883], [-5.7149906, 38.722996], [-5.7150306, 38.7231018]]",-330.0,300.0
301,237861811,"[5.6240048, 45.3334775]",-30.0,300.0
302,998907993,"[13.466667, 41.65]",-750.0,640.0
303,828393338,"[2.8245405, 39.3976431]",-2000.0,-1000.0
304,491524938,"[[13.6179355, 37.2569753], [13.617931, 37.2569916], [13.6180282, 37.2570194], [13.6179678, 37.2571666], [13.6179008, 37.2572249], [13.6177979, 37.2573017], [13.617702, 37.2573287], [13.6176378, 37.2573293], [13.6174085, 37.2572748], [13.6172367, 37.2572338], [13.6168544, 37.2571512], [13.6168092, 37.2571232], [13.6167745, 37.257076], [13.6168182, 37.2569717], [13.6168756, 37.2567973], [13.6169179, 37.2567528], [13.6170288, 37.2567679], [13.6171873, 37.2568022], [13.6172701, 37.2568298], [13.6172992, 37.2568736], [13.6173335, 37.256862], [13.6173672, 37.2568719], [13.6174023, 37.2568691], [13.6174449, 37.2568526], [13.6175038, 37.2568159], [13.6175718, 37.2568333], [13.6175688, 37.2568576], [13.617744, 37.2568944], [13.6179355, 37.2569753]]",-2000.0,-1000.0
305,483473194,"[32.828333, 37.6675]",-10000.0,-3300.0
306,645204824,"[23.1245074, 38.6366677]",-2000.0,-550.0
307,471781651,"[21.290224, 40.4856227]",-10000.0,-3300.0
308,335229933,"[[22.5731518, 40.4723896], [22.5738666, 40.4727177], [22.574261, 40.4728115], [22.5750867, 40.4728959], [22.5753086, 40.4729709], [22.575703, 40.4731115], [22.5757523, 40.4731959], [22.5758015, 40.4733459], [22.5757276, 40.4735896], [22.5755921, 40.474274], [22.5753455, 40.4749209], [22.574717, 40.4756521], [22.5742856, 40.4766834], [22.5738173, 40.476674], [22.5734723, 40.476599], [22.5722934, 40.4763929], [22.572475, 40.4736039], [22.5731518, 40.4723896]]",-330.0,300.0
309,379689234,"[35.4874516, 38.7225274]",-1000.0,-720.0
310,565915542,"[59.5712429, 52.6498371]",-3000.0,-1000.0
311,572637979,"[14.1310175, 41.4902367]",-330.0,300.0
312,280341406,"[24.510628, 36.756783]",-10000.0,-1000.0
313,426595172,"[36.0043148, 31.8786659]",-4000.0,2100.0
314,970879216,"[45.019874, 43.768392]",-4000.0,-3000.0
315,598359947,"[26.073008, 35.159856]",-1600.0,-1080.0
316,997707343,"[24.3087725, 41.0104179]",,
317,380086882,"[[33.3811307, 34.7466169], [33.3815732, 34.7465816], [33.3815974, 34.7460924], [33.3816108, 34.7459932], [33.3816644, 34.7459006], [33.3817663, 34.7458566], [33.3817637, 34.7457464], [33.3815679, 34.7455634], [33.3815062, 34.7455568], [33.3814338, 34.7455767], [33.3813587, 34.7457397], [33.3812433, 34.7458521], [33.381136, 34.7459381], [33.3811012, 34.7460285], [33.3810287, 34.7462797], [33.3811119, 34.7465155], [33.3811307, 34.7466169]]",-2000.0,-1000.0
318,147985,"[3.473132, 43.305832]",-750.0,640.0
319,147988,"[4.078972, 44.127214]",-550.0,300.0
320,147990,"[4.149669, 43.715821]",-330.0,300.0
321,147992,"[3.985009, 44.055137]",-330.0,300.0
322,147993,"[5.393684, 43.876571]",-30.0,640.0
323,147995,"[4.681572, 43.896129]",-30.0,300.0
324,147996,"[4.193302, 43.785798]",-30.0,300.0
325,147997,"[3.42009, 43.394594]",-750.0,-30.0
326,148004,"[4.806612, 43.950668]",-750.0,640.0
327,148007,"[3.677563, 43.441823]",-30.0,640.0
328,148009,"[5.467542, 43.291075]",-750.0,-30.0
329,148010,"[5.633331, 43.383305]",-550.0,-30.0
